font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
TIMES,TIMES NEW ROMAN,121,0.700000,1,0.000000,49,13,46,36,20,20,1,1,1,1,1,1,30,58,145,206,157,4,1,1,1,15,169,255,243,65,1,1,1,1,1,111,203,255,255,255,255,29,1,1,1,114,255,255,255,212,1,1,1,1,1,1,15,209,255,255,255,146,1,1,1,69,244,255,255,255,1,1,1,1,1,1,1,63,255,255,255,171,1,1,1,1,47,214,255,182,1,1,1,1,1,1,1,57,255,255,255,171,1,1,1,1,1,57,249,89,1,1,1,1,1,1,1,57,255,255,255,171,1,1,1,1,1,168,178,1,1,1,1,1,1,1,1,57,255,255,255,211,28,1,1,1,41,199,45,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,20,162,103,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,157,127,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,124,206,17,1,1,1,1,1,1,1,1,1,1,25,207,255,255,255,57,109,237,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,134,210,35,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,233,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,248,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,231,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,237,255,31,1,1,1,1,1,1,1,1,1,5,110,122,49,5,1,1,63,236,72,1,1,1,1,1,1,1,1,1,1,200,255,255,255,200,45,143,174,34,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,150,15,1,1,1,1,1,1,1,1,1,1,1,1,83,243,255,243,145,34,4,1,1,1,1,1,1,1,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,120,0.700000,1,0.000000,49,18,33,37,20,20,1,1,1,1,14,101,101,101,239,187,1,1,1,1,1,33,139,255,243,47,1,1,1,117,162,237,255,255,255,241,55,1,1,1,19,198,255,255,255,226,1,1,1,1,1,73,255,255,255,255,149,1,1,1,183,255,255,255,255,255,1,1,1,1,1,9,210,255,255,255,207,1,1,46,247,175,185,255,248,79,1,1,1,1,1,1,112,254,255,255,244,68,6,224,73,9,16,62,57,1,1,1,1,1,1,1,1,249,255,255,255,90,83,188,7,1,1,1,1,1,1,1,1,1,1,1,1,203,255,255,255,245,242,8,1,1,1,1,1,1,1,1,1,1,1,1,1,111,255,255,255,255,148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,241,255,255,255,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,228,255,255,255,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,215,255,255,255,207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90,255,255,255,249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,219,255,255,255,255,116,1,1,1,1,1,1,1,1,1,1,1,1,1,119,187,223,255,255,255,139,1,1,1,1,1,1,1,1,1,1,1,1,60,202,16,207,255,255,255,255,14,1,1,1,63,1,1,57,62,16,1,46,237,28,1,90,255,255,255,255,131,1,1,69,187,1,79,248,255,185,163,217,168,3,1,26,212,255,255,255,218,29,46,197,36,1,255,255,255,255,255,183,1,1,1,1,187,255,255,255,255,255,255,76,1,1,226,255,255,255,198,19,1,1,1,1,64,236,255,255,255,238,164,14,1,1,47,243,255,139,33,1,1,1,1,1,1,82,255,255,193,68,1,1,1,1
TIMES,TIMES NEW ROMAN,119,0.700000,1,0.000000,49,20,33,44,20,20,1,1,28,101,101,232,1,1,1,1,1,19,144,1,1,1,19,213,255,69,61,201,216,255,255,251,74,1,1,1,1,68,186,1,1,1,138,255,255,161,109,135,255,255,255,255,93,1,1,1,14,216,186,1,1,1,163,255,255,255,1,2,76,255,255,255,93,1,1,1,66,255,211,17,1,1,121,255,255,255,1,1,60,248,255,255,181,1,1,1,157,255,255,47,1,1,12,203,255,255,1,1,1,209,255,255,209,1,1,64,255,255,255,47,1,1,1,123,255,192,1,1,1,209,255,255,209,1,1,155,255,255,255,47,1,1,1,70,255,101,1,1,1,209,255,255,209,1,12,235,255,255,255,47,1,1,1,84,244,21,1,1,1,209,255,255,209,1,93,255,255,255,255,47,1,1,1,186,163,1,1,1,1,209,255,255,209,22,213,150,255,255,255,47,1,1,78,249,57,1,1,1,1,209,255,255,209,81,180,113,255,255,255,128,1,3,171,196,15,1,1,1,1,209,255,255,209,186,47,1,255,255,255,163,1,80,255,70,1,1,1,1,1,209,255,255,250,154,6,1,255,255,255,163,32,241,183,9,1,1,1,1,1,209,255,255,253,66,1,1,255,255,255,168,195,233,31,1,1,1,1,1,1,209,255,255,156,1,1,1,255,255,255,255,255,64,1,1,1,1,1,1,1,209,255,250,71,1,1,1,255,255,255,255,129,1,1,1,1,1,1,1,1,209,255,229,1,1,1,1,255,255,255,193,9,1,1,1,1,1,1,1,1,209,255,67,1,1,1,1,255,255,226,27,1,1,1,1,1,1,1,1,1,209,231,1,1,1,1,1,231,246,76,1,1,1,1,1,1,1,1,1,1,209,69,1,1,1,1,1,140,139,1,1,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,118,0.700000,1,0.000000,49,21,33,28,20,20,1,1,1,1,72,101,101,233,146,1,1,1,1,1,1,145,255,255,189,29,47,135,201,201,240,255,255,255,146,1,1,1,1,1,144,255,255,255,255,106,109,109,235,255,255,255,255,255,209,42,1,1,1,1,183,255,255,255,255,255,1,1,29,203,255,255,255,255,255,73,1,1,1,1,183,255,255,255,255,255,1,1,1,110,255,255,255,255,255,73,1,1,1,1,45,255,255,255,255,255,1,1,1,50,216,255,255,255,255,73,1,1,1,1,1,156,255,255,255,156,1,1,1,1,183,255,255,255,255,244,1,1,1,1,1,49,219,255,255,73,1,1,1,1,183,255,255,255,255,255,1,1,1,1,1,1,146,255,176,20,1,1,1,1,183,255,255,255,255,255,1,1,1,1,1,38,203,237,71,1,1,1,1,1,183,255,255,255,255,255,1,1,1,1,1,129,255,53,1,1,1,1,1,1,166,255,255,255,255,255,1,1,1,1,17,249,144,12,1,1,1,1,1,1,1,255,255,255,255,255,1,1,1,53,218,183,1,1,1,1,1,1,1,1,1,255,255,255,255,255,1,1,82,238,206,23,1,1,1,1,1,1,1,1,1,255,255,255,255,255,5,104,241,174,25,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,156,255,136,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,238,105,6,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,250,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,209,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,187,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,167,15,1,1,1,1,1,1,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,117,0.700000,1,0.000000,49,21,33,34,20,20,1,1,1,48,101,101,101,246,255,106,1,1,1,1,30,101,101,101,101,101,1,37,158,227,255,255,255,255,247,86,1,1,1,1,76,255,255,255,255,137,1,1,7,178,255,255,255,255,211,1,1,1,1,1,162,255,255,255,255,106,1,1,1,121,255,255,255,255,211,1,1,1,1,1,226,255,255,255,212,4,1,1,3,141,255,255,255,255,97,1,1,1,1,19,230,255,255,255,211,1,1,1,16,255,255,255,255,255,61,1,1,1,1,121,255,255,255,255,129,1,1,1,16,255,255,255,255,171,4,1,1,1,6,166,255,255,255,255,61,1,1,1,125,255,255,255,255,166,1,1,1,1,34,255,255,255,255,190,17,1,1,1,166,255,255,255,255,88,1,1,1,1,166,255,255,255,255,166,1,1,1,55,247,255,255,255,255,16,1,1,1,55,247,255,255,255,255,120,1,1,1,74,255,255,255,255,161,5,1,1,10,169,255,255,255,255,255,16,1,1,1,211,255,255,255,255,121,1,1,1,106,255,255,255,255,255,255,16,1,1,1,211,255,255,255,229,15,1,1,41,209,111,255,255,255,255,137,2,1,1,71,241,255,255,255,226,1,1,3,157,141,161,255,255,255,254,113,1,1,1,106,255,255,255,255,157,1,1,114,187,1,211,255,255,255,226,1,1,1,1,233,255,255,255,255,76,33,117,208,16,90,249,255,255,255,226,1,22,142,1,255,255,255,255,255,190,212,253,113,1,106,255,255,255,255,135,5,184,113,1,255,255,255,255,255,255,255,102,1,1,106,255,255,255,255,238,186,166,1,1,224,255,255,255,255,217,120,3,1,1,83,246,255,255,255,249,201,40,1,1,42,228,255,255,119,30,1,1,1,1,1,120,255,255,210,89,1,1,1,1
TIMES,TIMES NEW ROMAN,116,0.700000,1,0.000000,41,21,41,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,131,255,125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,137,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,19,19,144,255,255,255,255,112,1,1,1,1,1,1,1,1,1,25,25,150,255,255,255,255,255,255,231,1,1,1,1,1,1,32,32,156,156,255,255,255,255,255,255,255,255,255,156,156,156,156,1,1,162,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,94,1,1,88,88,88,88,255,255,255,255,255,255,255,255,212,88,88,88,88,1,1,1,1,1,1,50,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,75,1,1,1,1,1,1,1,1,1,1,187,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,63,1,1,1,1,1,1,1,1,1,1,200,255,255,255,255,255,255,255,181,1,1,1,1,1,1,1,1,1,1,81,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,168,1,1,1,1,1,1,1,1,1,1,218,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,32,1,1,1,1,1,1,1,1,1,1,231,255,255,255,255,255,255,255,255,1,1,1,1,106,231,1,1,1,1,1,255,255,255,255,255,255,255,255,19,1,1,112,237,144,19,1,1,1,1,1,255,255,255,255,255,255,255,255,243,243,243,137,13,1,1,1,1,1,1,1,7,131,255,255,255,255,255,255,131,131,7,1,1,1,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,115,0.700000,1,0.000000,49,19,33,26,20,20,1,1,1,1,1,1,8,101,184,255,255,255,255,255,196,101,101,101,101,220,1,1,1,1,1,29,182,255,255,255,173,55,55,78,209,238,255,255,255,220,1,1,1,1,57,214,255,255,255,255,1,1,1,1,1,67,233,255,255,59,1,1,1,15,156,255,255,255,255,255,1,1,1,1,1,1,145,255,255,59,1,1,1,40,255,255,255,255,255,255,149,1,1,1,1,1,17,229,235,50,1,1,1,40,255,255,255,255,255,255,229,75,1,1,1,1,1,79,118,1,1,1,1,40,255,255,255,255,255,255,255,248,74,1,1,1,1,53,79,1,1,1,1,11,141,255,255,255,255,255,255,255,207,39,1,1,1,1,1,1,1,1,1,1,48,205,255,255,255,255,255,255,255,236,81,1,1,1,1,1,1,1,1,1,1,15,220,255,255,255,255,255,255,255,187,30,1,1,1,1,1,1,1,1,1,1,78,239,255,255,255,255,255,255,255,208,28,1,1,1,1,1,1,1,1,1,1,41,198,255,255,255,255,255,255,255,135,1,1,1,1,33,22,1,1,1,1,1,100,239,255,255,255,255,255,255,236,1,1,1,1,118,90,2,1,1,1,1,1,66,255,255,255,255,255,255,236,1,1,1,27,181,255,20,1,1,1,1,1,1,166,255,255,255,255,255,236,1,1,1,59,255,255,68,1,1,1,1,1,1,59,255,255,255,255,255,188,1,1,1,59,255,255,217,5,1,1,1,1,1,59,255,255,255,255,251,39,1,1,1,59,255,255,255,199,42,1,1,1,1,143,255,255,255,214,57,1,1,1,1,220,231,201,251,255,227,78,55,55,173,255,255,255,182,29,1,1,1,1,1,220,55,1,93,101,101,232,255,255,255,220,101,101,8,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,114,0.700000,1,0.000000,49,21,32,26,20,20,1,1,1,1,1,1,1,1,52,96,133,255,255,20,1,59,231,255,255,59,1,1,1,5,32,32,167,192,226,255,255,255,233,23,94,231,255,255,255,206,1,1,89,148,255,255,255,255,255,255,255,255,79,40,255,255,255,255,255,255,1,1,23,32,94,231,255,255,255,255,255,226,59,211,255,255,255,255,255,255,1,1,1,1,1,157,255,255,255,255,255,138,111,248,255,255,255,255,255,133,1,1,1,1,1,157,255,255,255,255,233,130,206,143,1,157,255,255,255,59,1,1,1,1,74,231,255,255,255,255,204,135,123,5,1,40,199,224,138,15,1,1,1,1,99,255,255,255,255,255,157,197,40,1,1,1,1,1,1,1,1,1,1,35,236,255,255,255,255,255,216,103,1,1,1,1,1,1,1,1,1,1,1,40,255,255,255,255,255,255,197,1,1,1,1,1,1,1,1,1,1,1,1,113,255,255,255,255,204,233,1,1,1,1,1,1,1,1,1,1,1,1,1,236,255,255,255,255,221,216,1,1,1,1,1,1,1,1,1,1,1,1,89,246,255,255,255,255,255,59,1,1,1,1,1,1,1,1,1,1,1,1,177,255,255,255,255,255,221,45,1,1,1,1,1,1,1,1,1,1,1,74,226,255,255,255,255,255,118,1,1,1,1,1,1,1,1,1,1,1,1,118,255,255,255,255,255,226,74,1,1,1,1,1,1,1,1,1,1,1,8,135,255,255,255,255,255,177,1,1,1,1,1,1,1,1,1,1,1,1,59,255,255,255,255,255,246,89,1,1,1,1,1,1,1,1,1,1,1,1,108,255,255,255,255,255,236,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,113,1,1,1,1,1,1,1,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,113,0.700000,1,0.000000,49,22,46,31,20,20,1,1,1,1,1,1,1,59,145,252,233,222,154,19,45,145,145,145,145,145,1,1,1,1,1,13,128,248,255,155,26,1,75,140,206,255,255,255,255,141,1,1,1,1,49,202,255,255,126,2,1,1,25,235,247,255,255,255,227,56,1,1,1,118,250,255,255,193,5,1,1,1,25,255,255,255,255,255,181,1,1,4,102,235,255,255,255,82,1,1,1,1,25,255,255,255,255,255,74,1,1,17,255,255,255,255,146,6,1,1,1,1,82,255,255,255,255,255,17,1,4,170,255,255,255,253,111,1,1,1,1,5,193,255,255,255,255,120,2,1,91,255,255,255,255,206,1,1,1,1,2,126,255,255,255,255,220,42,1,1,141,255,255,255,255,156,1,1,1,1,59,255,255,255,255,255,198,1,1,1,255,255,255,255,255,42,1,1,1,36,209,255,255,255,255,255,55,1,1,1,255,255,255,255,255,42,1,1,21,166,173,255,255,255,255,181,15,1,1,1,255,255,255,255,255,85,1,18,183,80,195,255,255,255,255,124,1,1,1,1,120,255,255,255,255,247,211,197,88,84,255,255,255,255,222,22,1,1,1,1,44,203,255,255,255,237,173,19,1,169,255,255,255,255,200,1,1,1,1,1,1,6,89,89,89,15,1,1,34,249,255,255,255,255,50,1,1,1,1,1,1,1,1,1,1,1,1,1,157,255,255,255,255,165,11,1,1,1,1,1,1,1,1,1,1,1,1,32,204,255,255,255,254,134,1,1,1,1,1,1,1,1,1,1,1,1,1,95,255,255,255,255,231,1,1,1,1,1,1,1,1,1,1,1,1,1,43,238,255,255,255,255,231,1,1,1,1,1,1,1,1,1,1,1,54,133,240,255,255,255,255,255,252,222,133,54,1,1,1,1
TIMES,TIMES NEW ROMAN,112,0.700000,1,0.000000,49,12,46,40,20,20,1,1,1,1,1,17,34,145,145,145,255,255,128,17,89,200,255,255,145,1,1,1,1,1,1,39,78,167,255,255,255,255,73,217,255,255,255,255,255,89,1,1,1,1,1,1,1,128,255,255,255,255,183,100,45,206,255,255,255,233,1,1,1,1,1,1,1,195,255,255,255,189,6,1,1,6,255,255,255,255,1,1,1,1,1,1,1,255,255,255,255,45,1,1,1,1,255,255,255,255,1,1,1,1,1,1,100,255,255,255,255,1,1,1,1,1,255,255,255,255,1,1,1,1,1,1,189,255,255,255,139,1,1,1,1,61,255,255,255,139,1,1,1,1,1,1,255,255,255,255,50,1,1,1,1,128,255,255,255,106,1,1,1,1,1,95,255,255,255,255,1,1,1,1,1,222,255,255,217,1,1,1,1,1,1,128,255,255,255,145,1,1,1,1,56,255,255,255,73,1,1,1,1,1,1,255,255,255,255,56,1,1,1,1,200,255,255,167,1,1,1,1,1,1,89,255,255,255,255,1,1,1,1,122,255,255,134,1,1,1,1,1,1,1,128,255,255,255,255,1,1,1,156,255,255,100,1,1,1,1,1,1,1,1,250,255,255,255,178,178,134,189,244,178,67,1,1,1,1,1,1,1,1,28,255,255,255,228,1,45,89,89,45,1,1,1,1,1,1,1,1,1,1,128,255,255,255,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,244,255,255,255,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,78,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,222,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,111,222,255,255,255,255,255,222,111,1,1,1,1,1,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,111,0.700000,1,0.000000,49,22,33,30,20,20,1,1,1,1,1,1,1,1,1,67,101,204,255,255,255,255,101,34,1,1,1,1,1,1,1,1,16,47,201,237,240,106,55,55,225,255,255,219,31,1,1,1,1,1,1,1,183,255,255,255,73,1,1,1,86,255,255,255,219,49,1,1,1,1,31,196,255,255,255,91,1,1,1,1,86,255,255,255,255,147,1,1,1,26,214,255,255,255,191,21,1,1,1,1,86,255,255,255,255,255,1,1,1,171,255,255,255,255,78,1,1,1,1,1,86,255,255,255,255,255,1,1,137,250,255,255,255,255,1,1,1,1,1,1,142,255,255,255,255,255,1,21,255,255,255,255,255,132,1,1,1,1,1,1,255,255,255,255,255,255,1,171,255,255,255,255,212,42,1,1,1,1,1,1,255,255,255,255,255,168,78,248,255,255,255,255,171,1,1,1,1,1,1,52,255,255,255,255,255,86,86,255,255,255,255,255,155,1,1,1,1,1,1,171,255,255,255,255,248,78,168,255,255,255,255,255,1,1,1,1,1,1,42,212,255,255,255,255,171,1,255,255,255,255,255,255,1,1,1,1,1,1,86,255,255,255,255,255,21,1,255,255,255,255,255,142,1,1,1,1,1,1,199,255,255,255,250,137,1,1,255,255,255,255,255,86,1,1,1,1,1,78,255,255,255,255,171,1,1,1,255,255,255,255,255,86,1,1,1,1,21,191,255,255,255,214,26,1,1,1,147,255,255,255,255,86,1,1,1,1,91,255,255,255,196,31,1,1,1,1,49,219,255,255,255,158,1,1,1,73,255,255,255,183,1,1,1,1,1,1,1,31,219,255,255,255,158,55,106,240,237,201,47,16,1,1,1,1,1,1,1,1,34,101,255,255,255,255,204,101,67,1,1,1,1,1,1,1,1,1
TIMES,TIMES NEW ROMAN,110,0.700000,1,0.000000,49,21,33,34,20,20,1,1,1,1,89,101,101,156,255,255,1,1,1,1,30,119,255,255,120,1,1,1,101,177,249,255,255,255,255,255,1,1,3,120,217,255,255,255,246,83,1,1,1,51,238,255,255,255,255,169,1,1,102,255,255,255,255,255,255,106,1,1,1,1,226,255,255,255,255,106,1,113,247,163,190,255,255,255,255,251,1,1,1,1,226,255,255,255,221,26,80,236,113,1,98,255,255,255,255,233,1,1,1,1,226,255,255,255,211,1,187,114,1,1,226,255,255,255,255,106,1,1,1,113,254,255,255,255,85,176,107,3,1,1,226,255,255,255,255,106,1,1,2,137,255,255,255,255,124,237,1,1,1,88,247,255,255,255,223,29,1,1,16,255,255,255,255,255,232,51,1,1,1,121,255,255,255,255,211,1,1,1,61,255,255,255,255,255,165,1,1,1,14,243,255,255,255,255,74,1,1,1,166,255,255,255,255,193,19,1,1,1,16,255,255,255,255,247,55,1,1,1,166,255,255,255,255,93,1,1,1,1,88,255,255,255,255,166,1,1,1,53,245,255,255,255,219,11,1,1,1,1,166,255,255,255,255,125,1,1,1,70,255,255,255,255,121,1,1,1,1,41,226,255,255,255,255,16,1,1,1,211,255,255,255,242,66,1,1,1,1,61,255,255,255,255,194,9,1,1,1,211,255,255,255,226,1,1,1,1,1,188,255,255,255,255,121,1,75,90,67,239,255,255,255,221,1,1,1,1,1,211,255,255,255,236,44,62,205,39,106,255,255,255,255,76,1,1,1,1,1,211,255,255,255,238,109,247,147,1,228,255,255,255,240,60,1,1,1,1,1,179,255,255,255,255,227,147,11,1,101,101,101,101,71,1,1,1,1,1,1,24,201,255,255,146,48,1,1,1
TIMES,TIMES NEW ROMAN,109,0.700000,1,0.000000,49,21,33,51,20,20,1,1,26,101,101,240,171,1,1,60,225,255,80,1,1,1,14,216,255,95,1,67,181,255,255,255,171,1,18,230,255,255,219,1,1,15,197,255,255,234,1,1,66,255,255,255,113,1,153,255,255,255,241,1,1,138,255,255,255,255,1,1,66,255,255,255,71,76,254,183,255,255,255,83,61,224,176,255,255,255,1,1,66,255,255,233,17,216,168,52,255,255,253,73,197,88,51,255,255,255,1,1,120,255,255,226,47,227,28,105,255,255,241,39,162,1,136,255,255,255,1,1,166,255,255,142,203,88,1,151,255,255,207,164,37,1,136,255,255,255,1,2,176,255,255,168,182,5,1,223,255,255,164,169,9,1,208,255,255,183,1,11,255,255,255,255,71,1,1,251,255,255,248,42,1,1,236,255,255,156,1,41,255,255,255,198,7,1,29,252,255,255,210,1,1,73,254,255,255,65,1,111,255,255,255,116,1,1,96,255,255,255,71,1,1,81,255,255,251,51,1,111,255,255,255,26,1,1,144,255,255,226,21,1,1,129,255,255,211,1,1,198,255,255,190,4,1,1,196,255,255,168,1,1,1,181,255,255,183,1,4,213,255,255,114,1,1,3,199,255,255,96,1,1,17,231,255,255,111,1,56,255,255,246,44,1,1,41,255,255,253,52,1,1,26,255,255,255,65,1,56,255,255,236,1,1,1,41,255,255,251,1,1,1,110,255,255,255,11,110,119,255,255,232,1,1,1,104,255,255,247,1,1,1,126,255,255,201,36,172,156,255,255,136,1,1,1,141,255,255,151,1,1,1,126,255,255,255,198,113,237,255,255,114,1,1,1,222,255,255,129,1,1,1,104,255,255,255,176,11,101,101,101,14,1,1,1,95,101,101,20,1,1,1,10,210,255,140,4,1
TIMES,TIMES NEW ROMAN,108,0.700000,1,0.000000,35,21,47,20,20,20,1,1,1,1,1,1,1,38,38,38,147,147,147,147,147,147,255,255,255,255,1,1,1,1,1,1,1,71,71,71,180,255,255,255,255,255,255,255,255,180,1,1,1,1,1,1,1,1,1,1,114,255,255,255,255,255,255,255,250,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,190,255,255,255,255,255,255,255,66,1,1,1,1,1,1,1,1,1,1,120,255,255,255,255,255,255,255,245,1,1,1,1,1,1,1,1,1,1,49,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,60,1,1,1,1,1,1,1,1,1,1,125,255,255,255,255,255,255,255,239,1,1,1,1,1,1,1,1,1,1,55,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,55,1,1,1,1,1,1,1,1,1,1,239,255,255,255,255,255,255,255,125,1,1,1,1,1,1,1,1,1,1,60,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,49,1,1,1,1,1,1,1,1,1,1,245,255,255,255,255,255,255,255,120,1,1,1,1,1,1,1,1,1,1,174,255,255,255,255,255,255,255,190,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,1,1,1,1,1,104,1,1,1,1,1,250,255,255,255,255,255,255,255,114,1,1,33,142,218,114,1,1,1,1,1,255,255,255,255,255,255,255,255,180,180,180,185,76,1,1,1,1,1,1,1,38,147,255,255,255,255,255,255,147,147,38,1,1,1,1,1,1,1,1,1
